id,date,ASNumber,UUID,TestTime,CongestionControl,MeanThroughputMbps,MinRTT,LossRate,ClientIP,StartTime,EndTime,DownloadUUID,duration
ndt-virtual-qjdw9_1713206528_000000000007A17D,2024-04-19,12083.0,ndt-virtual-qjdw9_1713206528_000000000007A17D,2024-04-19 00:02:50.276727 UTC,bbr,5.375656887174517,26.941,0.0,24.192.4.244,2024-04-19 00:02:50.276688 UTC,2024-04-19 00:03:05.277074 UTC,ndt-virtual-qjdw9_1713206528_000000000007A17D,0 days 00:00:15.000386
ndt-virtual-d7g87_1713220163_000000000003C806,2024-04-19,141995.0,ndt-virtual-d7g87_1713220163_000000000003C806,2024-04-19 04:52:48.728813 UTC,bbr,22.141056724478503,15.57,0.0074727799943627,185.111.159.145,2024-04-19 04:52:48.728773 UTC,2024-04-19 04:53:03.729582 UTC,ndt-virtual-d7g87_1713220163_000000000003C806,0 days 00:00:15.000809
ndt-virtual-4fkck_1713222417_00000000000413F9,2024-04-19,396982.0,ndt-virtual-4fkck_1713222417_00000000000413F9,2024-04-19 17:20:24.666679 UTC,bbr,27.536631773238103,1.32,0.0,148.64.12.28,2024-04-19 17:20:24.666614 UTC,2024-04-19 17:20:39.667551 UTC,ndt-virtual-4fkck_1713222417_00000000000413F9,0 days 00:00:15.000937
ndt-virtual-q4hxb_1713212801_000000000002A305,2024-04-19,39891.0,ndt-virtual-q4hxb_1713212801_000000000002A305,2024-04-19 14:45:46.946289 UTC,bbr,3.4562111871991963,129.925,0.0256605245690211,2.90.206.134,2024-04-19 14:45:46.946252 UTC,2024-04-19 14:46:01.946534 UTC,ndt-virtual-q4hxb_1713212801_000000000002A305,0 days 00:00:15.000282
ndt-virtual-q4hxb_1713212801_00000000000258B8,2024-04-19,31037.0,ndt-virtual-q4hxb_1713212801_00000000000258B8,2024-04-19 10:03:24.886393 UTC,bbr,2.8170174045077383,86.796,0.105529904490164,185.134.178.36,2024-04-19 10:03:24.886354 UTC,2024-04-19 10:03:39.887051 UTC,ndt-virtual-q4hxb_1713212801_00000000000258B8,0 days 00:00:15.000697
ndt-virtual-d7g87_1713220163_000000000003CAE0,2024-04-19,142318.0,ndt-virtual-d7g87_1713220163_000000000003CAE0,2024-04-19 06:01:25.171646 UTC,bbr,8.269210411757475,14.697,0.195408865917778,103.168.166.201,2024-04-19 06:01:25.171610 UTC,2024-04-19 06:01:40.172602 UTC,ndt-virtual-d7g87_1713220163_000000000003CAE0,0 days 00:00:15.000992
ndt-virtual-2rnd6_1713206232_000000000004935F,2024-04-19,14593.0,ndt-virtual-2rnd6_1713206232_000000000004935F,2024-04-19 14:02:34.230715 UTC,bbr,37.66197803476375,62.071,0.0029512261667002,98.97.176.234,2024-04-19 14:02:34.230671 UTC,2024-04-19 14:02:49.232160 UTC,ndt-virtual-2rnd6_1713206232_000000000004935F,0 days 00:00:15.001489
ndt-virtual-8fkxx_1713205780_0000000000043040,2024-04-19,141607.0,ndt-virtual-8fkxx_1713205780_0000000000043040,2024-04-19 01:28:38.463392 UTC,bbr,5.527949798353989,20.157,0.1516085366878147,103.160.68.154,2024-04-19 01:28:38.463330 UTC,2024-04-19 01:28:53.463900 UTC,ndt-virtual-8fkxx_1713205780_0000000000043040,0 days 00:00:15.000570
ndt-virtual-gzk5c_1713212514_000000000002B0AB,2024-04-19,13614.0,ndt-virtual-gzk5c_1713212514_000000000002B0AB,2024-04-19 07:02:58.850860 UTC,bbr,5.753486220342343,35.124,0.0004570256330356,206.217.0.180,2024-04-19 07:02:58.850822 UTC,2024-04-19 07:03:13.851048 UTC,ndt-virtual-gzk5c_1713212514_000000000002B0AB,0 days 00:00:15.000226
ndt-virtual-l6f2q_1713222417_00000000000D5C47,2024-04-19,55685.0,ndt-virtual-l6f2q_1713222417_00000000000D5C47,2024-04-19 14:01:21.173660 UTC,bbr,8.64514785735823,21.285,0.1296806165045586,202.51.215.22,2024-04-19 14:01:21.173595 UTC,2024-04-19 14:01:36.173732 UTC,ndt-virtual-l6f2q_1713222417_00000000000D5C47,0 days 00:00:15.000137
ndt-virtual-d7g87_1713220163_000000000004B2DC,2024-04-19,4761.0,ndt-virtual-d7g87_1713220163_000000000004B2DC,2024-04-19 15:44:26.881375 UTC,bbr,4.718886877374703,51.574,0.009509730769695,114.10.115.110,2024-04-19 15:44:26.881325 UTC,2024-04-19 15:44:41.882215 UTC,ndt-virtual-d7g87_1713220163_000000000004B2DC,0 days 00:00:15.000890
ndt-virtual-2rnd6_1713206232_0000000000041023,2024-04-19,394473.0,ndt-virtual-2rnd6_1713206232_0000000000041023,2024-04-19 00:35:33.989454 UTC,bbr,7.605709753571704,20.984,0.0,192.190.156.59,2024-04-19 00:35:33.989427 UTC,2024-04-19 00:35:48.989869 UTC,ndt-virtual-2rnd6_1713206232_0000000000041023,0 days 00:00:15.000442
